year,Country,Country Code,"Transport - Rails: Carriage productivity (1,000 passenger-km per carriage)",Transport - Rails: Carriages (number),"Transport - Rails: Concessioned company (1-concessioned, 0-non-concessioned)",Transport - Rails: Employees (number),Transport - Rails: Employees - average 2000 to 2005 (number),"Transport - Rails: Freight (number of tons, annual)","Transport - Rails: Gauge (1-cape, 2-metre, 3-narrow, 4-standard, 5-meter/standard)","Transport - Rails: Labour productivity (1,000 traffic units per employee)",Transport - Rails: Length of haul freight - average (km),Transport - Rails: Locomotive productivity (million traffic units per locomotive),Transport - Rails: Locomotives (number),"Transport - Rails: Passengers (number, annual)","Transport - Rails: Private company (1-private, 0-non-private)","Transport - Rails: Traffic - operated by private company (route-km, annual)","Transport - Rails: Traffic - operated by public rail company (route-km, annual)","Transport - Rails: Traffic - total (route-km, annual)","Transport - Rails: Traffic density - passengers (1,000 passenger-km/route-km)","Transport - Rails: Traffic density freight - operated by private rail company (1,000 net tonne-km/route-km)","Transport - Rails: Traffic density freight - operated by public rail company (1,000 net tonne-km/route-km)",Transport - Rails: Traffic unit - freight - operated by private rail company (million net ton-km),Transport - Rails: Traffic unit - freight - operated by public rail company (million net ton-km),Transport - Rails: Traffic unit - net tonne-km (million),Transport - Rails: Traffic unit - passenger - long-distance (million passenger-km),Transport - Rails: Traffic unit - passenger - suburban (million passenger-km),Transport - Rails: Traffic unit - passenger and freight  (million passenger-km+net tons-km),Transport - Rails: Traffic unit - passenger-km (million),Transport - Rails: Trip length per passenger - average (km per passenger),"Transport - Rails: Wagon productivity (1,000 net tonne-km per wagon)",Transport - Rails: Wagons (number)
1950,Algeria,001,1249.8698519333334,1249.8698519333334,1249.8698519333334,1249.8698519333334,1249.8698519333334,1249.8698519333334,1249.8698519333334,1249.8698519333334,1249.8698519333334,1249.8698519333334,1249.8698519333334,1249.8698519333334,1249.8698519333334,1249.8698519333334,1249.8698519333334,1249.8698519333334,1249.8698519333334,1249.8698519333334,1249.8698519333334,1249.8698519333334,1249.8698519333334,1249.8698519333334,1249.8698519333334,1249.8698519333334,1249.8698519333334,1249.8698519333334,1249.8698519333334,1249.8698519333334,1249.8698519333334
1950,Angola,002,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
1950,Angola,003,250.2529994777778,250.2529994777778,250.2529994777778,250.2529994777778,250.2529994777778,250.2529994777778,250.2529994777778,250.2529994777778,250.2529994777778,250.2529994777778,250.2529994777778,250.2529994777778,250.2529994777778,250.2529994777778,250.2529994777778,250.2529994777778,250.2529994777778,250.2529994777778,250.2529994777778,250.2529994777778,250.2529994777778,250.2529994777778,250.2529994777778,250.2529994777778,250.2529994777778,250.2529994777778,250.2529994777778,250.2529994777778,250.2529994777778
1950,Angola,004,152.92769952999998,152.92769952999998,152.92769952999998,152.92769952999998,152.92769952999998,152.92769952999998,152.92769952999998,152.92769952999998,152.92769952999998,152.92769952999998,152.92769952999998,152.92769952999998,152.92769952999998,152.92769952999998,152.92769952999998,152.92769952999998,152.92769952999998,152.92769952999998,152.92769952999998,152.92769952999998,152.92769952999998,152.92769952999998,152.92769952999998,152.92769952999998,152.92769952999998,152.92769952999998,152.92769952999998,152.92769952999998,152.92769952999998
1950,Angola,005,896.0249910141731,896.0249910141731,896.0249910141731,896.0249910141731,896.0249910141731,896.0249910141731,896.0249910141731,896.0249910141731,896.0249910141731,896.0249910141731,896.0249910141731,896.0249910141731,896.0249910141731,896.0249910141731,896.0249910141731,896.0249910141731,896.0249910141731,896.0249910141731,896.0249910141731,896.0249910141731,896.0249910141731,896.0249910141731,896.0249910141731,896.0249910141731,896.0249910141731,896.0249910141731,896.0249910141731,896.0249910141731,896.0249910141731
1950,Benin,006,492.28038091584904,492.28038091584904,492.28038091584904,492.28038091584904,492.28038091584904,492.28038091584904,492.28038091584904,492.28038091584904,492.28038091584904,492.28038091584904,492.28038091584904,492.28038091584904,492.28038091584904,492.28038091584904,492.28038091584904,492.28038091584904,492.28038091584904,492.28038091584904,492.28038091584904,492.28038091584904,492.28038091584904,492.28038091584904,492.28038091584904,492.28038091584904,492.28038091584904,492.28038091584904,492.28038091584904,492.28038091584904,492.28038091584904
1950,Botswana,008,730.9678284352779,730.9678284352779,730.9678284352779,730.9678284352779,730.9678284352779,730.9678284352779,730.9678284352779,730.9678284352779,730.9678284352779,730.9678284352779,730.9678284352779,730.9678284352779,730.9678284352779,730.9678284352779,730.9678284352779,730.9678284352779,730.9678284352779,730.9678284352779,730.9678284352779,730.9678284352779,730.9678284352779,730.9678284352779,730.9678284352779,730.9678284352779,730.9678284352779,730.9678284352779,730.9678284352779,730.9678284352779,730.9678284352779
1950,Botwsana,007,475.4040404,475.4040404,475.4040404,475.4040404,475.4040404,475.4040404,475.4040404,475.4040404,475.4040404,475.4040404,475.4040404,475.4040404,475.4040404,475.4040404,475.4040404,475.4040404,475.4040404,475.4040404,475.4040404,475.4040404,475.4040404,475.4040404,475.4040404,475.4040404,475.4040404,475.4040404,475.4040404,475.4040404,475.4040404
1950,Burkina Faso,009,595.2413856939622,595.2413856939622,595.2413856939622,595.2413856939622,595.2413856939622,595.2413856939622,595.2413856939622,595.2413856939622,595.2413856939622,595.2413856939622,595.2413856939622,595.2413856939622,595.2413856939622,595.2413856939622,595.2413856939622,595.2413856939622,595.2413856939622,595.2413856939622,595.2413856939622,595.2413856939622,595.2413856939622,595.2413856939622,595.2413856939622,595.2413856939622,595.2413856939622,595.2413856939622,595.2413856939622,595.2413856939622,595.2413856939622
1950,Cameroon,010,1041.3199851098113,1041.3199851098113,1041.3199851098113,1041.3199851098113,1041.3199851098113,1041.3199851098113,1041.3199851098113,1041.3199851098113,1041.3199851098113,1041.3199851098113,1041.3199851098113,1041.3199851098113,1041.3199851098113,1041.3199851098113,1041.3199851098113,1041.3199851098113,1041.3199851098113,1041.3199851098113,1041.3199851098113,1041.3199851098113,1041.3199851098113,1041.3199851098113,1041.3199851098113,1041.3199851098113,1041.3199851098113,1041.3199851098113,1041.3199851098113,1041.3199851098113,1041.3199851098113
1950,Congo,011,1094.9373406166667,1094.9373406166667,1094.9373406166667,1094.9373406166667,1094.9373406166667,1094.9373406166667,1094.9373406166667,1094.9373406166667,1094.9373406166667,1094.9373406166667,1094.9373406166667,1094.9373406166667,1094.9373406166667,1094.9373406166667,1094.9373406166667,1094.9373406166667,1094.9373406166667,1094.9373406166667,1094.9373406166667,1094.9373406166667,1094.9373406166667,1094.9373406166667,1094.9373406166667,1094.9373406166667,1094.9373406166667,1094.9373406166667,1094.9373406166667,1094.9373406166667,1094.9373406166667
1950,Congo,012,147.28571428571428,147.28571428571428,147.28571428571428,147.28571428571428,147.28571428571428,147.28571428571428,147.28571428571428,147.28571428571428,147.28571428571428,147.28571428571428,147.28571428571428,147.28571428571428,147.28571428571428,147.28571428571428,147.28571428571428,147.28571428571428,147.28571428571428,147.28571428571428,147.28571428571428,147.28571428571428,147.28571428571428,147.28571428571428,147.28571428571428,147.28571428571428,147.28571428571428,147.28571428571428,147.28571428571428,147.28571428571428,147.28571428571428
1950,Congo,013,1380.4718175935193,1380.4718175935193,1380.4718175935193,1380.4718175935193,1380.4718175935193,1380.4718175935193,1380.4718175935193,1380.4718175935193,1380.4718175935193,1380.4718175935193,1380.4718175935193,1380.4718175935193,1380.4718175935193,1380.4718175935193,1380.4718175935193,1380.4718175935193,1380.4718175935193,1380.4718175935193,1380.4718175935193,1380.4718175935193,1380.4718175935193,1380.4718175935193,1380.4718175935193,1380.4718175935193,1380.4718175935193,1380.4718175935193,1380.4718175935193,1380.4718175935193,1380.4718175935193
1950,Congo,014,390.9727913474359,390.9727913474359,390.9727913474359,390.9727913474359,390.9727913474359,390.9727913474359,390.9727913474359,390.9727913474359,390.9727913474359,390.9727913474359,390.9727913474359,390.9727913474359,390.9727913474359,390.9727913474359,390.9727913474359,390.9727913474359,390.9727913474359,390.9727913474359,390.9727913474359,390.9727913474359,390.9727913474359,390.9727913474359,390.9727913474359,390.9727913474359,390.9727913474359,390.9727913474359,390.9727913474359,390.9727913474359,390.9727913474359
