ET_ID,LINKNO,ROADNO,STARTKM,ENDKM,LENGTHKM,STARTDESC,ENDDESC,CLASS,REGION,WIDTH,LANES,SURFTYPE,CONDITION,AADT,PAVEMTYPE,COMMENT,geometry
,210-02,EN210,0.0,44.24,44.24,CASA DA TELHA,TOMBOCO,Primary,ZAIRE,7.9,2,Paved,Good,415,Paved,,"LINESTRING (12.965945581671459 -7.041666075978403, 13.022075298954517 -6.992551618850339, 13.066511337145991 -6.962147432868435, 13.101592424636383 -6.9481147340674925, 13.131996043731727 -6.9317432505434935, 13.150705980972662 -6.896661492679901, 13.183448356632475 -6.870934873483256, 13.216190733397656 -6.856902174670277, 13.237239409768407 -6.845208257985917, 13.255949351614145 -6.826497988780846, 13.2606268387592 -6.819481637435741)"
,100-10,EN100,0.0,113.3,113.3,BRIDGE FREITAS MORNA,CAXITO,Primary,BENGO,7.0,2,Paved,Good,185,Paved,,"LINESTRING (13.59030560021181 -8.58441075794911, 13.572910864447227 -8.565001575378949, 13.562351968595543 -8.528197374070594, 13.544713106695147 -8.494872175681662, 13.523717361058894 -8.473876078529264, 13.481725867781222 -8.452818943140507, 13.437720261836695 -8.428282803591786, 13.408118719016722 -8.4089956896994, 13.393958812439022 -8.391417562435802, 13.39395883139936 -8.356383382285115, 13.385108907510089 -8.314208087544069, 13.367714226386747 -8.240599685852361, 13.350136433000962 -8.189696362568037, 13.350136451367536 -8.156310131876426, 13.344948574404398 -8.117796947312998, 13.32035187423591 -8.049376533264315, 13.292337269827883 -7.982726138366721, 13.262369562903963 -7.949400938606709, 13.234354961195647 -7.900206598562847, 13.225566068987815 -7.8826895074480525, 13.225566084958414 -7.854674370775613, 13.241312894256106 -7.80908111155097, 13.24131291323223 -7.775694881258704, 13.241312927146712 -7.7512197837607655)"
,220-01,EN220,0.0,81.52,81.52,Ambriz,Bela Vista,Primary,BENGO,5.5,2,Unpaved,Fair,75,Gravel,2 assumptions made: Based on map information road is gravel and traffic assumed a maximum of 75 cars/day,"LINESTRING (13.7307457308967 -7.830809707643678, 13.696749649503888 -7.8496085295023175, 13.633762324397493 -7.864806272264613, 13.552159603793461 -7.869994246603169, 13.473913808129533 -7.868285249260117, 13.422950311639053 -7.854674401251729, 13.385536399259436 -7.851195391387619, 13.332924995581235 -7.869994211151622, 13.281717404236735 -7.871703187692571, 13.225566084958414 -7.854674370775613, 13.183513641528759 -7.847594286541556, 13.158916933047683 -7.847594283026424, 13.09055885170592 -7.859923375125748, 13.050154361880093 -7.863402373656281)"
,100-08,EN100,0.0,51.58,51.58,N'ZETO,MUSSERRA,Primary,ZAIRE,7.0,2,Paved,Good,185,Paved,,"LINESTRING (12.97150629518783 -7.636426183929311, 12.951912808308368 -7.624900362396254, 12.943142562080423 -7.600343127740603, 12.934372317611983 -7.574031804998955, 12.930864237217966 -7.535441866245537, 12.915077790851894 -7.502114190234724, 12.888767042365771 -7.461770160493682, 12.88525895816188 -7.431950662364408, 12.878242778175885 -7.391606635241179, 12.857194184280425 -7.361787134894133, 12.816851051774343 -7.3126726631024095, 12.794048417073697 -7.286361338837608, 12.788201604310414 -7.254495404467737)"
,110-03,EN110,0.0,21.02,21.02,CATETE,CABALA,Primary,BENGO,7.9,2,Paved,Good,350,Paved,,"LINESTRING (13.702648452544794 -9.284267848298828, 13.699140335356194 -9.270235142419494, 13.67984566614283 -9.247431993584966, 13.655288817457965 -9.21936657954532, 13.639502273714978 -9.201825695723546, 13.630731976171944 -9.184284812819019, 13.627223863344394 -9.164989842428538, 13.632486064109195 -9.129908079640904)"
,110-02,EN110,0.0,36.9,36.9,FUNDA,CATETE,Primary,BENGO,7.9,2,Paved,Good,900,Paved,,"LINESTRING (13.632486064109195 -9.129908079640904, 13.632486092692991 -9.072023170009917, 13.632486101376246 -9.054482288328677, 13.625469863805026 -9.040449582039985, 13.607929258231373 -9.031679138836285, 13.58688053594006 -9.017646430674365, 13.579864303173276 -8.998351459890815, 13.56933994628383 -8.986072841314726, 13.555307465970579 -8.98081057494897, 13.54829122941464 -8.972040133181325, 13.536012817370072 -8.954499249882865, 13.523734403679905 -8.942220631093965, 13.51321004810912 -8.935204277044232, 13.504439751170459 -8.93169609956462, 13.502685698699523 -8.917663393991434, 13.500931650779195 -8.894860247591694, 13.493915421406802 -8.877319365011603)"
,100-11,EN100,0.0,60.23,60.23,CAXITO,LUANDA,Primary,LUANDA,7.0,2,Paved,Good,2137,Paved,,"LINESTRING (13.17832518383151 -8.843993232162225, 13.213358733446134 -8.819396066805929, 13.23252342902166 -8.810607006022702, 13.243143356246788 -8.80712800314685, 13.267740082963726 -8.807128005891027, 13.293923700066838 -8.807128008883232, 13.316750448100558 -8.80541902711628, 13.344948218459864 -8.770323814508817, 13.360756070046667 -8.735228600556903, 13.371131877906377 -8.717711511520791, 13.404517551586139 -8.696593351202452, 13.436133242686566 -8.675597261136353, 13.48331266158083 -8.631774024479231, 13.493932612604416 -8.617674904605751, 13.513341478838225 -8.614195903400368, 13.539525141279924 -8.610716903212134, 13.567722941882414 -8.596678821178365, 13.59030560021181 -8.58441075794911)"
,225-01,EN225,0.0,4.57,4.57,Caxito (Prox.),Sassa,Primary,BENGO,7.9,2,Paved,Good,200,Paved,2 assumptions made: Based on map information road is paved and traffic assumed a maximum of 200 cars/day,"MULTILINESTRING ((13.590449012096284 -8.584346212675383, 13.629039131271377 -8.577332134125115), (13.62951011002911 -8.577228970963874, 13.646585595223977 -8.56860095120868))"
,120-11,EN120,0.0,25.53,25.53,VISTA ALEGRE,PONTE DO SANGUE,Primary,UIGE,8.0,2,Paved,Good,200,Paved,Assumed a minimum of 200 cars for all paved roads with no traffic information available.,"LINESTRING (14.563895280233519 -8.426518894837923, 14.607747040978381 -8.394945317236395, 14.663877302479882 -8.365125830044828, 14.712991293504883 -8.335306341603227, 14.741056442453147 -8.30022458504907)"
,220-11,EN220,0.0,31.24,31.24,U¡ge,Negage,Primary,UIGE,5.5,2,Unpaved,Poor,20,Track,2 assumptions made: Based on map information road is a track and traffic assumed a maximum of 20 cars/day,"LINESTRING (15.005921552657098 -7.617884373697008, 15.026970438318138 -7.584556704403958, 15.04626524353743 -7.577540355691541, 15.06731412093574 -7.577540359530587, 15.084854847496452 -7.595081243325334, 15.10064149892262 -7.621392567107664, 15.128706668519479 -7.64068754087239, 15.155017760994276 -7.6792774830039585, 15.19185330050778 -7.716113338974815)"
