UNIFORM_ID,ADM2_NAME,ADM2_ID,ADM3_NAME,ADM3_ID,ROAD_ID,ROAD_NAME,START_NODE,END_NODE,LINK_NAME,RD_TYPE,LOCAL_CLS,LENGTH,ROAD_WIDTH,AADT_CODE,AADT_VALUE,AADT_SOURC,SURF_TYPE_,SURF_TYPE1,SURF_TYP_1,ROAD_COND_,ROAD_COND1,ROAD_CON_1,LANE_NB,Shape_Leng,AICD_REG,TAH,geometry,country
1.0,EXTRÊME-NORD,4.0,LOGONE-ET-CHARI,22.0,62.0,D2,Makari,jct_N1A,D2.Makari-jct_N1A,3.0,3.0,23.396778999,-99.0,-99.0,-99.0,Not applicable,5.0,Earth Road,CDP,4.0,Poor,CDP,2.0,0.211001248542,,,"LINESTRING (14.462824152773237 12.358718861225952, 14.469004936773842 12.375248171696683, 14.467440403326634 12.386992701363738, 14.45373936351126 12.40433724995205, 14.447281707036097 12.419794453450606, 14.446442780776351 12.435215398982962, 14.44857787199794 12.47707699583674, 14.447923806777226 12.478126993876117, 14.440232349725704 12.490475220434973, 14.438178661536881 12.499001088250395, 14.440836308320286 12.549601220995726, 14.444554861919244 12.558955813161788)",Cameroon
2.0,EXTRÊME-NORD,4.0,LOGONE-ET-CHARI,22.0,2.0,N1A,Fotokol,jct_D2,N1A.Fotokol-jct_D2,1.0,1.0,26.463736509,-99.0,5.0,330.0,Tecsult Estimate,5.0,Earth Road,CDP,3.0,Fair,CDP,2.0,0.242296569895,1.0,1.0,"LINESTRING (14.224186541391418 12.373242325641172, 14.232137611129076 12.374854006045837, 14.285024042605414 12.372481058536607, 14.29951107548527 12.368254317843991, 14.315686747353027 12.372530539234674, 14.336288366038218 12.373097896321951, 14.35101560333544 12.369436681696925, 14.369476582881418 12.364844661577024, 14.407640879813698 12.366909230663055, 14.43408700261034 12.366513360796944, 14.447863481154855 12.361132668532264, 14.462824152773237 12.358718861225952)",Cameroon
3.0,EXTRÊME-NORD,4.0,LOGONE-ET-CHARI,22.0,2.0,N1A,jct_D2,*,N1A.jct_D2-*,1.0,1.0,11.754491275,-99.0,5.0,336.244655,CDP,5.0,Earth Road,CDP,4.0,Poor,CDP,2.0,0.10735472123,1.0,1.0,"LINESTRING (14.462824152773237 12.358718861225952, 14.490424734359578 12.355335121621238, 14.51356402487346 12.350580961833316, 14.5285026343239 12.344499315495966, 14.561266738991947 12.321911384029761)",Cameroon
4.0,EXTRÊME-NORD,4.0,LOGONE-ET-CHARI,22.0,61.0,D1,Goulfey,Maltan,D1.Goulfey-Maltan,3.0,3.0,25.2465071099,-99.0,-99.0,-99.0,Not applicable,5.0,Earth Road,CDP,4.0,Poor,CDP,2.0,0.228001366288,,,"LINESTRING (14.900410764637229 12.378267765019928, 14.897303786890404 12.366627402024847, 14.88933992159889 12.35209127425611, 14.87530599323776 12.343072132804252, 14.869731247963557 12.327906395078742, 14.860215562940368 12.318849604409479, 14.857838918318237 12.311921740109312, 14.858096868157986 12.288555560539976, 14.85552567589923 12.275280764292916, 14.849377338538147 12.259674586301514, 14.842978237819693 12.23669604600309, 14.837467946055995 12.228059484236383, 14.830411115379547 12.206961829197496, 14.819227620565869 12.189468688328304, 14.807514555478633 12.17961227357057)",Cameroon
5.0,EXTRÊME-NORD,4.0,LOGONE-ET-CHARI,22.0,2.0,N1A,*,Maltan,N1A.*-Maltan,1.0,1.0,33.008574925,-99.0,5.0,336.244655,CDP,5.0,Earth Road,CDP,4.0,Poor,CDP,2.0,0.300504237414,1.0,1.0,"MULTILINESTRING ((14.561266738991947 12.321911384029761, 14.576928864706133 12.30689665416412, 14.611751126294166 12.266390095489555, 14.61985526783576 12.254138189917285, 14.634245388874376 12.237470742683513, 14.645636025430406 12.227265413461453, 14.659611420517933 12.218652714305506, 14.670349927194195 12.21535391296851, 14.70147092195134 12.216739494821752, 14.708944846493807 12.215074349722443, 14.718264577340733 12.209943537680886, 14.735231672379427 12.19714228214633), (14.735231672379427 12.19714228214633, 14.740176850864259 12.193630852303272, 14.764845565293399 12.185975311475659, 14.807514555478633 12.17961227357057))",Cameroon
6.0,EXTRÊME-NORD,4.0,LOGONE-ET-CHARI,22.0,1.0,N1,Maltan,Kousséri,N1.Maltan-Kousséri,1.0,1.0,17.7466972428,-99.0,5.0,742.949176,CDP,2.0,Asphalt,CDP,5.0,Very Poor,CDP,2.0,0.161426407087,1.0,1.0,"MULTILINESTRING ((14.858428581289843 12.151561403242795, 14.807514555478633 12.17961227357057), (14.879371618590199 12.140022923541096, 14.858428581289843 12.151561403242795), (14.926240046051248 12.09949853490798, 14.884672902518332 12.137102203480481, 14.879371618590199 12.140022923541096), (14.939741101828304 12.089033798944513, 14.931595265918759 12.093702071680013, 14.926240046051248 12.09949853490798))",Cameroon
7.0,EXTRÊME-NORD,4.0,LOGONE-ET-CHARI,22.0,1.0,N1,Tilde Goulfey,Djilbé,N1.Tilde Goulfey-Djilbé,1.0,1.0,24.9634246926,-99.0,5.0,499.35796,CDP,2.0,Asphalt,CDP,5.0,Very Poor,CDP,2.0,0.225712128223,1.0,1.0,"LINESTRING (14.648076128013486 11.908104399749618, 14.648720863667506 11.933410183112471, 14.659167850611368 11.9568057201501, 14.659232760977488 11.966008691118645, 14.655306570109758 11.972710189768804, 14.648797504790139 11.977589218621802, 14.642802398413039 11.989366184136543, 14.63644892030112 12.016792974438658, 14.630682587059027 12.024222132529133, 14.629266744818153 12.026047474760844, 14.629780707357895 12.03271652677148, 14.632644902331037 12.041210906624656, 14.638301699948556 12.047843701568354, 14.653105794205771 12.05855247216175, 14.661367404336715 12.0697686249556, 14.669108365468674 12.073394474641134, 14.67803922857081 12.08000245729005, 14.691708710276828 12.09508956549189)",Cameroon
8.0,EXTRÊME-NORD,4.0,LOGONE-ET-CHARI,22.0,54.0,P28,Kousséri,Logone Birni,P28.Kousséri-Logone Birni,2.0,2.0,20.1083946882,-99.0,4.0,156.825283,CDP,5.0,Earth Road,CDP,4.0,Poor,CDP,2.0,0.181043028443,,,"MULTILINESTRING ((15.030469927809122 12.062507945854065, 15.0347719192726 12.069098472662404), (15.02811354850968 11.893633802879208, 15.0369946341375 11.921630846085577, 15.039476460766139 11.938866634264912, 15.039114288496478 11.95129589963119, 15.036422985485501 11.964664541930631, 15.041690596998194 11.979576211290293, 15.041824215567374 11.995452060884702, 15.037955465296989 12.00751226247661, 15.032942677580593 12.023140177081473, 15.030097961922593 12.046174329655571, 15.030469927809122 12.062507945854065))",Cameroon
9.0,EXTRÊME-NORD,4.0,LOGONE-ET-CHARI,22.0,1.0,N1,Djilbé,Ziguague,N1.Djilbé-Ziguague,1.0,1.0,26.9520049588,-99.0,5.0,499.35796,CDP,2.0,Asphalt,CDP,5.0,Very Poor,CDP,2.0,0.243130315664,1.0,1.0,"LINESTRING (14.648076128013486 11.908104399749618, 14.633227149493166 11.8895716758895, 14.620759892267756 11.87746385519614, 14.617193950919216 11.868515531756827, 14.617547541858073 11.851945413649673, 14.614349508655096 11.828728191485993, 14.61684361372744 11.817665543969326, 14.622131281020756 11.805433677090548, 14.628870104233044 11.796121002324242, 14.637862815509777 11.783691708179674, 14.644035200741996 11.764550457169094, 14.646033474505998 11.749809486325148, 14.643774589808402 11.727276041183416, 14.6438907660268 11.710478000699766, 14.648863659817948 11.6845246497179)",Cameroon
10.0,EXTRÊME-NORD,4.0,LOGONE-ET-CHARI,22.0,1.0,N1,Ziguague,Ndiguina,N1.Ziguague-Ndiguina,1.0,1.0,24.0332203925,-99.0,5.0,499.35796,CDP,2.0,Asphalt,CDP,5.0,Very Poor,CDP,2.0,0.216713946395,1.0,1.0,"MULTILINESTRING ((14.652375359457608 11.598915075893274, 14.65209614874584 11.615387916135148, 14.641656407639573 11.658030612842197, 14.643382238989375 11.671134110725689, 14.648863659817948 11.6845246497179), (14.672127557694239 11.48253032001412, 14.645339549534299 11.530952252536338, 14.649396679890799 11.556652429078497, 14.640515549296936 11.57061223981458, 14.646259877927548 11.581835724780944, 14.652375359457608 11.598915075893274))",Cameroon
