name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Tanzania,2017-01-01,32.1,21,25.9,31.3,21,25.7,16,57.4,0,0,0,,0,0,,29.5,90.4,1015.3,36.9,16.5,,,,,2017-01-01T06:26:27,2017-01-01T18:54:46,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-01-02,32,21,25.3,32,21,25.3,17.2,63.5,3,100,4.17,rain,0,0,,22.3,80.4,1016.2,49.8,16.1,,,,,2017-01-02T06:26:58,2017-01-02T18:55:11,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"63862099999,HTDO"
Tanzania,2017-01-03,30.4,20,22.9,31.1,20,23.1,18.6,78.4,5.4,100,16.67,rain,0,0,,37.1,294,1017.3,72.7,15,,,,,2017-01-03T06:27:29,2017-01-03T18:55:35,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"63862099999,HTDO"
Tanzania,2017-01-04,32.1,19,24.8,34.7,19,25.5,19,73.6,16,100,4.17,rain,0,0,,18.4,79.8,1016.2,34.6,17.2,,,,,2017-01-04T06:27:59,2017-01-04T18:55:59,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"63862099999,HTDO"
Tanzania,2017-01-05,33,20,26.6,31.4,20,26.1,14.4,52.3,0,0,0,,0,0,,29.5,90.4,1014.9,28.9,16.5,,,,,2017-01-05T06:28:30,2017-01-05T18:56:22,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-01-06,33,20,27.2,31.8,20,26.7,14.2,49.2,0,0,0,,0,0,,25.9,93.3,1015.7,22.5,18.3,,,,,2017-01-06T06:29:00,2017-01-06T18:56:45,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-01-07,34,20,26.9,32.5,20,26.5,15.2,54.3,0,0,0,,0,0,,22.3,94.5,1015,17.8,18.1,,,,,2017-01-07T06:29:30,2017-01-07T18:57:07,0.32,Clear,Clear conditions throughout the day.,clear-day,"63862099999,HTDO"
Tanzania,2017-01-08,33,21.2,28.4,32.7,21.2,28.5,16.5,51,0,0,0,,0,0,,18.4,85.2,1013.4,30.4,18.4,,,,,2017-01-08T06:29:59,2017-01-08T18:57:28,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-01-09,27,18.7,22.3,27.7,18.7,22.4,18.8,81.8,11.7,100,12.5,rain,0,0,,17,80.4,1015.1,79.8,17,,,,,2017-01-09T06:30:29,2017-01-09T18:57:48,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"63862099999,HTDO"
Tanzania,2017-01-10,30,21,24.4,30.1,21,24.4,18,69.4,0,0,0,,0,0,,22.3,83.7,1014.9,53.7,17,,,,,2017-01-10T06:30:58,2017-01-10T18:58:08,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-01-11,32,20.7,25.6,31.7,20.7,25.5,16.9,62.4,0,0,0,,0,0,,31.7,98.6,1014.1,55.9,15.7,,,,,2017-01-11T06:31:26,2017-01-11T18:58:27,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-01-12,31,20,25.5,30.1,20,25.3,15.6,57.8,0,0,0,,0,0,,24.1,91.7,1015.3,33.3,15.9,,,,,2017-01-12T06:31:55,2017-01-12T18:58:45,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-01-13,31.1,19.1,26.1,30.3,19.1,25.9,14.9,53.4,0,0,0,,0,0,,20.5,99.6,1015,34,18.3,,,,,2017-01-13T06:32:23,2017-01-13T18:59:02,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-01-14,32,21,25.9,31.3,21,25.9,16.3,57.1,0,0,0,,0,0,,16.6,89.6,1013.9,33.7,16.2,,,,,2017-01-14T06:32:50,2017-01-14T18:59:18,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-01-15,32,21.3,25.7,31.7,21.3,25.7,17,61.3,1,100,4.17,rain,0,0,,20.5,95.2,1014.8,54.3,17.2,,,,,2017-01-15T06:33:17,2017-01-15T18:59:34,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"63862099999,HTDO"
Tanzania,2017-01-16,31,18.9,26.1,31,18.9,26.2,16.7,58.6,6,100,4.17,rain,0,0,,25.9,101.8,1013.8,45.9,21,,,,,2017-01-16T06:33:44,2017-01-16T18:59:49,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"63862099999,HTDO"
Tanzania,2017-01-17,32,18.9,25.2,31.1,18.9,25.1,15.9,59.6,6,100,4.17,rain,0,0,,22.3,89.1,1015.3,33.6,17.7,,,,,2017-01-17T06:34:10,2017-01-17T19:00:02,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"63862099999,HTDO"
Tanzania,2017-01-18,31,19.9,25.1,30.1,19.9,25,14.8,55.2,0,0,0,,0,0,,25.9,94,1015.4,49.8,14.2,,,,,2017-01-18T06:34:35,2017-01-18T19:00:15,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
