name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Angola,2017-01-01,30,24,26.7,35.1,24,28.4,23.2,81.4,,0,0,,0,0,,14.8,274.1,1009.5,59.7,9,,,,,2017-01-01T05:51:57,2017-01-01T18:29:26,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-01-02,31,25.8,27.4,36.4,25.8,29.5,23.2,78,,0,0,,0,0,,14.8,249.5,1010.3,46.6,10,,,,,2017-01-02T05:52:29,2017-01-02T18:29:50,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-01-03,31,24,27.5,35.5,24,30.1,23.3,78.6,,0,0,,0,0,,20.5,213.9,1010.4,50.4,9.9,,,,,2017-01-03T05:53:01,2017-01-03T18:30:13,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-01-04,32,25.8,27.9,36.8,25.8,30.8,23.7,78.6,,0,0,,0,0,,22.3,224.8,1009.4,53.3,9.5,,,,,2017-01-04T05:53:33,2017-01-04T18:30:35,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-01-05,29,24,26,33.6,24,27,23.3,85.5,,0,0,,0,0,,14.8,115.8,1008.7,71.1,6.4,,,,,2017-01-05T05:54:04,2017-01-05T18:30:57,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-01-06,29,24,26,33.6,24,27.3,23.5,86.2,,0,0,,0,0,,11.2,179.2,1010.5,61.5,9,,,,,2017-01-06T05:54:36,2017-01-06T18:31:18,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-01-07,28,25,26.2,31.9,25,27.2,23.7,86.3,,0,0,,0,0,,11.2,161.1,1011.7,57.6,9.2,,,,,2017-01-07T05:55:08,2017-01-07T18:31:38,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-01-08,32,25,27.6,37.2,25,29.6,23.2,78,,0,0,,0,0,,20.5,224.2,1009.6,49,10,,,,,2017-01-08T05:55:39,2017-01-08T18:31:57,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-01-09,30,24.9,27,34.1,24.9,28.6,23,79.5,,0,0,,0,0,,14.8,198.8,1008.9,59.4,9.4,,,,,2017-01-09T05:56:10,2017-01-09T18:32:15,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-01-10,31,25,27.4,34.5,25,29,22.5,76.1,,0,0,,0,0,,18.4,201.3,1008.4,46.9,9.9,,,,,2017-01-10T05:56:41,2017-01-10T18:32:33,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
