element_type,osmid,amenity,building,name,tourism,geometry
node,2713762426,place_of_worship,mosque,,,POINT (29.6568005 30.7690299)
way,1113750189,,yes,,,"POLYGON ((29.7595699 30.7173269, 29.7596156 30.7173859, 29.7596521 30.7173649, 29.7596064 30.717306, 29.7595699 30.7173269))"
way,97807716,,tank,,,"POLYGON ((29.6758212 31.054685, 29.675813 31.0548222, 29.67586 31.0549536, 29.6759567 31.0550632, 29.6760913 31.0551379, 29.676261 31.0551691, 29.6764195 31.0551483, 29.6765602 31.0550822, 29.676666 31.054979, 29.6767284 31.0548299, 29.6767233 31.0546925, 29.6766637 31.054565, 29.6765567 31.0544626, 29.676349 31.0543836, 29.6761887 31.0543843, 29.6760382 31.054432, 29.6759159 31.0545209, 29.6758212 31.054685))"
way,97807717,,tank,,,"POLYGON ((29.6792422 31.0471222, 29.679196 31.0472012, 29.6791841 31.0472889, 29.6792079 31.0473748, 29.6792646 31.0474486, 29.6793474 31.0475013, 29.6794117 31.0475214, 29.6795147 31.0475266, 29.6796135 31.0475013, 29.6796962 31.0474486, 29.6797688 31.0473342, 29.6797755 31.047246, 29.6797466 31.0471613, 29.6796855 31.0470901, 29.6795997 31.0470411, 29.6795351 31.047024, 29.679432 31.047023, 29.6793348 31.0470524, 29.6792422 31.0471222))"
way,97807718,,tank,,,"POLYGON ((29.6778136 31.0444475, 29.6777228 31.0445597, 29.6776823 31.0446917, 29.6776969 31.0448276, 29.6777649 31.044951, 29.677878 31.0450471, 29.6780512 31.0451098, 29.6782104 31.0451124, 29.6783611 31.0450682, 29.6784851 31.0449824, 29.6785674 31.0448656, 29.6785977 31.0447075, 29.6785634 31.0445742, 29.678478 31.044459, 29.6783517 31.0443758, 29.6781998 31.0443346, 29.6780407 31.0443404, 29.6778934 31.0443924, 29.6778136 31.0444475))"
way,97807719,,tank,,,"POLYGON ((29.6741768 31.0505125, 29.6741589 31.0506573, 29.6741998 31.0507986, 29.6742947 31.0509195, 29.6744321 31.0510052, 29.674641 31.0510478, 29.6748088 31.0510243, 29.674957 31.0509531, 29.6750679 31.0508427, 29.6751335 31.0506753, 29.6751228 31.0505299, 29.6750548 31.0503965, 29.6749375 31.0502911, 29.674708 31.0502125, 29.6745382 31.0502198, 29.6743816 31.0502764, 29.674257 31.0503754, 29.6741768 31.0505125))"
way,97807720,,tank,,,"POLYGON ((29.6708628 31.0509802, 29.6708234 31.051116, 29.6708407 31.0512552, 29.6709125 31.0513809, 29.6710302 31.051478, 29.6712532 31.0515452, 29.671416 31.0515326, 29.6715638 31.051473, 29.671679 31.0513738, 29.6717527 31.0512284, 29.6717588 31.0510885, 29.6717087 31.0509553, 29.6716084 31.0508448, 29.6714701 31.0507703, 29.6713612 31.0507449, 29.6711979 31.0507489, 29.671046 31.0508005, 29.6709239 31.0508935, 29.6708628 31.0509802))"
way,97807721,,tank,,,"POLYGON ((29.6757975 31.0518024, 29.6758044 31.0519471, 29.6758687 31.0520811, 29.6759826 31.0521882, 29.6761323 31.0522555, 29.6762518 31.0522745, 29.6764198 31.0522576, 29.6765709 31.0521926, 29.6766869 31.0520872, 29.6767539 31.0519542, 29.6767666 31.0518405, 29.6767303 31.0516991, 29.6766397 31.0515767, 29.6765057 31.0514884, 29.6762934 31.0514411, 29.6761261 31.0514623, 29.6759774 31.0515313, 29.6758652 31.0516397, 29.6757975 31.0518024))"
way,97807722,,tank,,,"POLYGON ((29.6792271 31.0543045, 29.6792327 31.0544477, 29.6792952 31.0545806, 29.679407 31.0546872, 29.6795546 31.0547546, 29.6796731 31.0547741, 29.6798394 31.0547583, 29.6799893 31.0546947, 29.6801048 31.054591, 29.6801719 31.0544598, 29.6801855 31.0543591, 29.6801552 31.0542182, 29.6800704 31.0540947, 29.6799414 31.0540034, 29.6797161 31.0539499, 29.6795507 31.0539712, 29.6794038 31.0540396, 29.6792931 31.054147, 29.6792271 31.0543045))"
way,97807723,,tank,,,"POLYGON ((29.6725026 31.0522411, 29.6724793 31.0523767, 29.6725117 31.0525111, 29.6725957 31.0526278, 29.6727212 31.0527129, 29.6729245 31.0527601, 29.673083 31.0527408, 29.6732243 31.0526763, 29.6733313 31.0525743, 29.6733879 31.0524592, 29.6733983 31.0523223, 29.6733535 31.0521907, 29.6732588 31.0520801, 29.6731257 31.0520039, 29.6730014 31.051974, 29.6728414 31.0519796, 29.6726934 31.0520318, 29.6725751 31.0521242, 29.6725026 31.0522411))"
