element_type,osmid,amenity,building,name,tourism,geometry
node,1301788510,,yes,CPC Africa,,POINT (13.2124267 -8.8923772)
node,1635379678,,retail,Chamavo,,POINT (13.2451325 -8.823510000000001)
node,1635402581,,yes,Rádio Nacional de Angola (RNA),,POINT (13.2390975 -8.830591999999999)
node,1635405212,,yes,Vauco Express,,POINT (13.2424602 -8.828140700000001)
node,1731541041,,office,SOS,,POINT (13.2414545 -8.806772)
node,2426726362,,office,Embassy of the Republic of Zambia in Luanda,,POINT (13.2437863 -8.819351599999999)
node,3142786556,,commercial,Etola - Energia Técnica SA,,POINT (13.2297489 -8.823190800000001)
node,3142788341,,commercial,Edifício KN10,,POINT (13.2282122 -8.8225979)
node,3152262410,,house,,,POINT (13.2940411 -8.8655211)
node,3152306532,,bunker,Campo Militar do Grafanil,,POINT (13.3033109 -8.860803799999999)
node,3152619672,,yes,Creche Tuzila,,POINT (13.2596874 -8.830834100000001)
node,3184296941,,house,,,POINT (13.2928202 -8.8667049)
node,4189227390,,office,2ª Repartição Fiscal de Luanda,,POINT (13.2423461 -8.816758399999999)
node,4189227392,,yes,Unitel - Loja Kinaxixi,,POINT (13.240898 -8.8167723)
node,4189227394,,yes,Centro Optíco,,POINT (13.2461569 -8.820191700000001)
node,4189768206,,office,Instituto Nacional do Emprego e de Formação Profissional (INEFOP),,POINT (13.2420637 -8.816295999999999)
node,4191264185,,office,Audiconta,,POINT (13.24222 -8.815811500000001)
node,4787767361,,house,27a,,POINT (13.2401328 -8.8225955)
node,4787767362,,house,,,POINT (13.2401543 -8.8225769)
node,4787767363,,house,,,POINT (13.2402281 -8.8225047)
node,5266889671,,house,,,POINT (13.2321484 -8.8243215)
node,5536386718,,yes,,,POINT (13.2437591 -8.818983299999999)
node,5536388026,,house,,,POINT (13.2431851 -8.8182749)
node,5536388027,,house,,,POINT (13.2432199 -8.8182166)
node,5536388028,,house,,,POINT (13.243281 -8.8181192)
node,5589222343,,house,,,POINT (13.2488432 -8.8237129)
node,5589222344,,house,,,POINT (13.2488733 -8.823655199999999)
node,5589222345,,house,,,POINT (13.2489043 -8.8236027)
node,5589222346,,yes,,,POINT (13.2489335 -8.8235467)
node,5589222347,,house,,,POINT (13.248607 -8.8241072)
node,5589222348,,house,,,POINT (13.2485707 -8.8241798)
node,5589222349,,house,,,POINT (13.2486733 -8.824006600000001)
node,5589222350,,house,,,POINT (13.2487052 -8.823951599999999)
node,5589222351,,house,,,POINT (13.2487344 -8.8238895)
node,5589222352,,house,,,POINT (13.2487715 -8.823835300000001)
node,5762223023,,house,,,POINT (13.2328463 -8.905169600000001)
node,5825707530,,house,,,POINT (13.2259024 -8.905697399999999)
node,5825707531,,house,,,POINT (13.2261398 -8.9058286)
node,5876993062,,house,,,POINT (13.2293656 -8.904916)
node,5877626632,,house,,,POINT (13.2317702 -8.905662400000001)
node,5887734890,,house,,,POINT (13.2428699 -8.8517122)
node,5921880154,,house,,,POINT (13.2338099 -8.8253217)
node,5921880163,,house,Vivenda Santa Maria,,POINT (13.2359128 -8.8261421)
node,5921880339,,house,,,POINT (13.2397879 -8.8227747)
node,5978914372,,yes,Torres do Oceano,,POINT (13.2363185 -8.820319599999999)
node,5979296113,,yes,Edifício Kimpa Vita,,POINT (13.2370148 -8.819746500000001)
node,5979445718,,yes,Edifício Maravilha,,POINT (13.2399473 -8.815126100000001)
node,6143924522,,yes,,,POINT (13.2489109 -8.8082727)
node,6143924523,,yes,,,POINT (13.2489122 -8.808320399999999)
node,6143924524,,yes,,,POINT (13.2489122 -8.8081216)
node,6143924525,,yes,,,POINT (13.2489109 -8.8080514)
node,6144115107,,yes,,,POINT (13.2488867 -8.808948600000001)
node,6144115118,,yes,,,POINT (13.2487842 -8.8106945)
node,6144115119,,yes,,,POINT (13.2487888 -8.810594800000001)
node,6144115120,,yes,,,POINT (13.2487919 -8.810166199999999)
node,6144115121,,yes,,,POINT (13.2488012 -8.8099074)
node,6144115122,,yes,,,POINT (13.2488212 -8.809646300000001)
node,6144115123,,yes,,,POINT (13.2488397 -8.809400500000001)
node,6144115154,,yes,Balneário Publico Ingombota,,POINT (13.2435623 -8.812090599999999)
node,6144115160,,yes,,,POINT (13.2448258 -8.8133409)
node,6144115161,,yes,,,POINT (13.2449629 -8.8134449)
node,6144115162,,yes,,,POINT (13.2450363 -8.813490399999999)
node,6144115165,,yes,,,POINT (13.2441834 -8.8128031)
node,6144115166,,yes,,,POINT (13.244701 -8.8132552)
node,6212012737,,yes,,,POINT (13.25174 -8.8221816)
node,6212012738,,yes,,,POINT (13.2517655 -8.822126000000001)
node,6223905914,,house,,,POINT (13.2488116 -8.8265273)
node,6223905918,,house,,,POINT (13.2489671 -8.8262398)
